read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
1559067,batch01,38.0,44.5,1,4,2,1416,Scpep1;Cuedc1,2
1559105,batch03,50.25,60.0,2,4,3,1211,Disc1;Ccdc7a,2
1559107,batch04,60.0,60.0,1,3,2,1196,Gm38825,1
1559112,batch03,60.0,60.0,1,3,2,1107,Gpt2;Cks1brt,2
1559136,batch04,48.666666666666664,60.0,1,9,4,3070,Wrn;Nrg1,2
1559164,batch03,33.0,33.0,1,2,2,711,Gm45587;Gm31135,2
1559194,batch01,41.4,52.0,1,5,2,1182,1600027J07Rik;Katnb1,2
1559199,batch04,45.0,60.0,1,3,2,931,Kremen1;Atp2a3,2
1559208,batch04,48.8,60.0,4,5,5,1848,Arhgap25;Stox2;Inpp4b;Cpm,4
1559209,batch04,58.8,60.0,2,5,3,1599,Gm10067;Col4a2,2
1559213,batch04,42.333333333333336,60.0,1,3,2,1201,Iqcm,1
1559231,batch04,60.0,60.0,2,4,2,1241,Gm29477;Zfp652os;Supt3,3
1559253,batch04,37.5,37.5,2,2,2,1087,Gm15473;Myo16,2
1559254,batch01,60.0,60.0,1,4,2,1065,Adam18;Zmat4;Plekha2,3
1559262,batch04,43.0,60.0,2,3,3,680,Jade3;Prkca;Kansl1,3
1559267,batch04,55.3125,60.0,1,16,2,3372,Gm45455;Gm45341;Gm45321,3
1559279,batch04,45.0,60.0,2,4,3,1650,Gm6203,1
1559288,batch01,54.0,60.0,2,3,3,932,Sox2ot,1
1559293,batch01,42.0,60.0,1,3,2,818,Stox2;Gm39213;Gcdh,3
1559373,batch03,60.0,60.0,2,2,2,674,Sap130,1
1559450,batch03,60.0,60.0,1,4,2,1186,Nod2,1
1559454,batch04,60.0,60.0,1,4,2,1265,Csmd1;Emc8,2
1559464,batch01,60.0,60.0,2,5,2,1233,Rit2;Gm10649,2
1559473,batch04,48.0,60.0,2,5,4,1293,Cdh13,1
1559487,batch04,45.25,47.0,2,4,2,909,Gse1;Irf8,2
1559496,batch01,40.333333333333336,60.0,2,3,3,827,2310005E17Rik;Nrg1,2
